2dmatpedia id,"2dmatpedia band structure (BG, VBM, CBM)","preds band structure (BG, Direc BG, VBM, CBM)"
2dm-139,"[0.014299988746643066, -2.6277999877929688, -2.6135001182556152]","[0.1266040802001953, 0.1641855239868164, -5.120172023773193, -4.979640960693359]"
2dm-140,"[0.9212999939918518, -2.194200038909912, -1.2728999853134155]","[1.6801825761795044, 1.8750957250595093, -5.416937828063965, -3.732417345046997]"
2dm-141,"[0.0, nan, nan]","[0.06780540943145752, 0.08142733573913574, -4.355466842651367, -4.230483531951904]"
2dm-142,"[0.0, nan, nan]","[0.0985797643661499, 0.082855224609375, -3.9631428718566895, -3.8552751541137695]"
2dm-143,"[0.0, nan, nan]","[0.1446751356124878, 0.14507460594177246, -4.105194091796875, -3.8890950679779053]"
2dm-144,"[2.247999906539917, -3.4619998931884766, -1.2139999866485596]","[2.95941162109375, 2.98026967048645, -6.437958717346191, -3.4792110919952393]"
2dm-145,"[1.2766000032424927, -2.1138999462127686, -0.8373000621795654]","[1.7199041843414307, 1.7085394859313965, -5.595615386962891, -3.85982084274292]"
2dm-146,"[0.21669995784759521, -3.131700038909912, -2.9149999618530273]","[0.8181235790252686, 1.1214905977249146, -5.764944553375244, -4.956725120544434]"
2dm-147,"[0.0, nan, nan]","[0.0809779167175293, 0.12834429740905762, -4.491990566253662, -4.388611793518066]"
2dm-6371,"[1.7480000257492065, -3.4482998847961426, -1.7002999782562256]","[1.7703479528427124, 2.2751739025115967, -5.23076057434082, -3.4620442390441895]"
2dm-149,"[0.8651999831199646, -5.752799987792969, -4.887599945068359]","[2.32319712638855, 2.4049034118652344, -8.328699111938477, -6.024639129638672]"
2dm-150,"[1.8485000133514404, -3.108299970626831, -1.2597999572753906]","[1.9674173593521118, 1.9883757829666138, -5.436090469360352, -3.467369556427002]"
2dm-151,"[0.9797999858856201, -4.560699939727783, -3.580899953842163]","[2.1265177726745605, 2.252169370651245, -7.102954864501953, -4.975822925567627]"
2dm-153,"[2.8986001014709473, -5.336999893188477, -2.4384000301361084]","[4.612569332122803, 4.683645725250244, -7.921260833740234, -3.3046727180480957]"
2dm-154,"[0.3194999098777771, -2.065000057220459, -1.7454999685287476]","[1.0912182331085205, 1.191408634185791, -4.663622856140137, -3.578563690185547]"
2dm-155,"[0.053600013256073, -2.309799909591675, -2.256200075149536]","[0.48184967041015625, 0.4840421676635742, -5.058437347412109, -4.474161148071289]"
2dm-156,"[1.4206000566482544, -4.169400215148926, -2.748800039291382]","[2.4803457260131836, 2.936689615249634, -6.97621488571167, -4.4952168464660645]"
2dm-157,"[1.6398999691009521, -5.075699806213379, -3.435800075531006]","[3.2259297370910645, 3.3900351524353027, -7.666849136352539, -4.401131629943848]"
2dm-6372,"[2.2056000232696533, -3.8550000190734863, -1.649399995803833]","[2.761582374572754, 2.9735336303710938, -6.159102916717529, -3.394024610519409]"
2dm-159,"[0.0, nan, nan]","[0.02242457866668701, 0.026307344436645508, -4.028655052185059, -4.0080132484436035]"
2dm-160,"[1.0464999675750732, -1.796299934387207, -0.7497999668121338]","[1.468289852142334, 1.4791980981826782, -5.10452127456665, -3.6174697875976562]"
2dm-161,"[2.4447999000549316, -6.04040002822876, -3.595599889755249]","[3.510240316390991, 3.5290017127990723, -9.073156356811523, -5.566136360168457]"
2dm-162,"[0.6193000078201294, -1.572199821472168, -0.9528999328613281]","[1.2920111417770386, 1.5165492296218872, -5.830497741699219, -4.543939113616943]"
2dm-163,"[0.0, nan, nan]","[0.05220949649810791, 0.0496213436126709, -4.262902736663818, -4.186827182769775]"
2dm-164,"[0.0, nan, nan]","[0.15507829189300537, 0.2758517265319824, -5.177709102630615, -5.022634983062744]"
2dm-165,"[3.605499744415283, -5.755300045013428, -2.1498000621795654]","[4.508193016052246, 4.445370674133301, -7.960181713104248, -3.4575653076171875]"
2dm-166,"[0.0, nan, nan]","[0.8008748292922974, 1.0986419916152954, -5.808772563934326, -4.9469685554504395]"
2dm-167,"[1.325600028038025, -4.970799922943115, -3.64520001411438]","[2.596224784851074, 2.7312684059143066, -7.715723037719727, -5.126439094543457]"
2dm-168,"[0.9417999982833862, -4.960700035095215, -4.018899917602539]","[2.4759981632232666, 2.693875789642334, -7.214146137237549, -4.730941295623779]"
2dm-170,"[0.44850003719329834, -3.367799997329712, -2.919300079345703]","[1.4267208576202393, 1.4321869611740112, -5.726635932922363, -4.297900676727295]"
2dm-171,"[0.21810007095336914, -1.482300043106079, -1.26419997215271]","[0.5335261821746826, 0.609826922416687, -4.832454204559326, -4.2725419998168945]"
2dm-172,"[0.0, nan, nan]","[0.07273471355438232, 0.07994818687438965, -4.373517990112305, -4.24183464050293]"
2dm-173,"[0.0, nan, nan]","[0.08450305461883545, 0.08607339859008789, -4.119792938232422, -4.042539119720459]"
2dm-174,"[0.0, nan, nan]","[0.006634712219238281, 0.009517431259155273, -4.503089904785156, -4.467933177947998]"
2dm-175,"[0.35969996452331543, -2.379300117492676, -2.0195999145507812]","[1.271214246749878, 1.3991835117340088, -4.746079921722412, -3.489135265350342]"
2dm-176,"[0.0, nan, nan]","[0.6987059116363525, 0.8957051038742065, -6.129982948303223, -5.38266134262085]"
2dm-177,"[0.1751999855041504, -1.4640998840332031, -1.2889000177383423]","[0.44914937019348145, 0.6071542501449585, -4.758075714111328, -4.283857822418213]"
2dm-178,"[0.36489999294281006, -1.897900104522705, -1.5329999923706055]","[0.9293631315231323, 0.9134844541549683, -5.390255451202393, -4.455142498016357]"
2dm-179,"[0.0, nan, nan]","[0.3492475748062134, 0.4301034212112427, -4.56202507019043, -4.15925407409668]"
2dm-180,"[3.5485997200012207, -7.67710018157959, -4.128499984741211]","[4.2379350662231445, 4.340781211853027, -9.166640281677246, -4.935446739196777]"
2dm-181,"[0.0, nan, nan]","[0.2600060701370239, 0.2603416442871094, -4.837315082550049, -4.51063871383667]"
2dm-182,"[0.02799999713897705, -1.5201001167297363, -1.4921000003814697]","[0.5631946325302124, 0.8867994546890259, -4.1091203689575195, -3.527489185333252]"
2dm-183,"[0.05760002136230469, -2.5494000911712646, -2.49180006980896]","[0.4647190570831299, 0.5302010774612427, -5.155346870422363, -4.6739420890808105]"
2dm-184,"[0.710099995136261, -2.079200029373169, -1.3690999746322632]","[1.0535045862197876, 1.3679925203323364, -6.1923723220825195, -5.136476039886475]"
2dm-185,"[0.0, nan, nan]","[0.4763681888580322, 0.5098869800567627, -4.370950698852539, -3.847443103790283]"
2dm-186,"[3.37969970703125, -5.237299919128418, -1.8575999736785889]","[4.427125930786133, 4.423083305358887, -7.724607467651367, -3.3083410263061523]"
2dm-187,"[0.0, nan, nan]","[0.05147850513458252, 0.057326555252075195, -4.6666789054870605, -4.590269565582275]"
2dm-188,"[0.0, nan, nan]","[0.18110442161560059, 0.18123877048492432, -5.069962978363037, -4.853481292724609]"
2dm-189,"[0.0, nan, nan]","[0.06075596809387207, 0.11886405944824219, -4.966832637786865, -4.914425849914551]"
2dm-190,"[2.2139999866485596, -5.1691999435424805, -2.955199956893921]","[4.115198612213135, 4.057188987731934, -8.037750244140625, -3.9288954734802246]"
